낄낄거리다,giggle; snicker [To constantly make laughing sounds only inside one's mouth while holding back one's laughter.],웃음을 참으면서 입속으로만 웃는 소리를 계속 내다.,ㄲ
화창하다,fine; sunny; genial; clear [The weather being clear and warm and the wind being gentle.],날씨가 맑고 따뜻하며 바람이 부드럽다.,ㅎ
붐비다,"be crowded; be jam-packed with [To be very congested as a lot of people, cars, etc., gather in one place.]",많은 사람들이나 차 등이 한 곳에 몰려 매우 복잡하다.,ㅂ
마지못하다 ,being compelled to; being forced to [Not wanting to do but must do.],하고 싶지 않지만 하지 않을 수 없다.,ㅁ
싸구려,cheap thing; inferior article [A product which is cheap or of poor quality.],싸거나 품질이 좋지 않은 물건.,ㅆ
긁적이다,1. scratch [To scratch some part of the body with one's nail or a sharp object.],손톱이나 뾰족한 물건 등으로 몸의 일부를 긁다.,ᄀ
빨다,2. suck on [To melt something in one's mouth or lick it.],입 안에서 녹이거나 혀로 핥다. ,ㅃ
얻어맞다,1. be beaten [To be badly hit by another person.],남에게 심하게 맞다.,ㅇ
투정,"complaining; grumbling; growling [An act of badgering someone for more of something or for a new one, when something is in shortage or is not satisfactory.]",무엇이 모자라거나 마음에 들지 않아 떼를 쓰며 조르는 일. ,ㅌ
지속하다,persist; carry on [To continue to do a certain act or to be in a state for a long time.],어떤 일이나 상태를 오래 계속하다.,ㅈ
진작,"before [Earlier in time, or already at that time.]",조금 더 먼저. 또는 그때 이미. ,ㅈ
파충류,"reptiles [Such animals as crocodiles, snakes, etc., breathing with lungs and changing body temperature depending on the external temperature.]",악어나 뱀 등과 같이 폐로 숨을 쉬며 바깥 온도에 따라 체온이 변하는 동물.,ㅍ
전시관,exhibition hall [A building in which items with significance are exhibited.],의미 있는 어떤 물품을 전시하기 위해 세운 건물.,ㅈ
조명등,light [A light used to illuminate something to make it bright.],빛을 비추어 밝게 보이게 하는 데 쓰는 등.,ㅈ
도마뱀,"lizard [A reptile with a snake-like head, four stout legs, and a long tail.]","머리는 뱀처럼 생기고, 짧은 네 다리와 긴 꼬리를 가진 파충류에 속한 동물.",ㄷ
느릿느릿,1. sluggishly [A word describing the manner of moving very slowly.],동작이 빠르지 못하고 매우 느린 모양.,ㄴ
주르르,"2. quickly [In such a manner that a person, object, etc., quickly slides down a slope.]",사람이나 물건 등이 기울어진 곳에서 빠르게 미끄러져 내리는 모양. ,ㅈ
짓뭉개다,trample; squash [To press and squeeze hard ruthlessly.],함부로 세게 누르고 문지르다. ,ㅈ
비단뱀,(동물) a python,"뱀목의 하나. 몸의 길이는 10미터 정도이며, 연한 갈색에 마름모꼴 또는 ‘X’ 자 모양의 어두운 갈색 얼룩무늬가 있다. 작은 동물이나 새 따위를 잡아먹고 한 배에 10~100개의 알을 낳는다. 물가나 나무 위에 사는데 말레이시아, 타이, 필리핀 등지에 분포한다.  ",ㅂ
납작하다,flat [An object looking flat and spread.],사물의 모양이 판판하고 넓게 퍼져 있다.,ㄴ
똬리,"2. circle; spiral [A thing that is wound in a circle, or such a shape.]",둥글게 말려 있는 것. 또는 그런 모양. ,ㄸ
틀다,10. coil [For a snake to coil its body in circles.],뱀 등이 몸을 빙빙 둥글게 말다. ,ㅌ
번쩍거리다,"sparkle [For a big light to appear and disappear repeatedly for a short time, or to make this happen.]",큰 빛이 잇따라 잠깐 나타났다가 사라지다. 또는 그렇게 되게 하다.,ㅂ
징징대다,whine; whimper [To cry or throw tantrums repeatedly when dissatisfied or displeased.],마음에 들지 않거나 못마땅하여 계속해서 자꾸 울거나 짜증을 내다. ,ㅈ
투덜투덜하다,grumble [To repeatedly complain about something in a voice which is too small and low to be heard by others.],남이 알아듣기 어려울 정도로 작고 낮은 목소리로 자꾸 불평을 하다. ,ㅌ
훼방,2. interruption; disturbance; obstruction [An act of interrupting another's affair.],남의 일을 방해함. ,ㅎ
천장,ceiling [The overhead interior surface of a building.],건축물의 내부 공간의 위쪽 면.,ㅊ
치켜뜨다,sharply raise [To open one's eyes with one's iris raised upwards.],눈을 아래에서 위로 올려 뜨다.,ㅊ
성가시다,annoying; bothersome; tiresome [Painful and tired because something or someone keeps bothering one.],어떤 것이 자꾸 못살게 굴어 괴롭고 귀찮다.,ㅅ
쿡,"1. with a thrust [A word describing an act of repeatedly prodding, knuckling, or spearing something severely or deeply.]",크게 또는 깊이 찌르거나 박거나 찍는 모양.,ㅋ
소스라치다,be frightened [To shake one's body because one is terrified.],깜짝 놀라 갑자기 몸을 떨듯이 움직이다.,ㅅ
귀청,"eardrum [A thin membrane in the inner ear, that enables one to hear sound.]",소리를 들을 수 있게 하는 귓구멍 안쪽의 얇은 막.,ᄀ
뒤뚱거리다,"falter; stagger; waddle [To move, swaying this way and that, not standing straight, as if one is about to fall.]",바로 서지 못하고 자꾸 이쪽저쪽으로 기울어지면서 쓰러질 것처럼 움직이다.,ㄷ
가슴팍,chest [(slang) The wide and flat part of one's chest.],(속된 말로) 가슴의 넓고 평평한 부분. ,ㄱ
